2019-09-30 01:23:04 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050164277903596 }', details={}}]. 
2019-09-30 01:23:14 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050186930194860 }', details={}}]. 
2019-09-30 01:23:36 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050197869253768 }', details={}}]. 
2019-09-30 01:24:00 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=27, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050222255756396 }', details={}}]. 
2019-09-30 01:24:23 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050247235879324 }', details={}}]. 
2019-09-30 01:24:49 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=5, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050274366162648 }', details={}}]. 
2019-09-30 01:24:54 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050298411956748 }', details={}}]. 
2019-09-30 01:25:19 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050305543124000 }', details={}}]. 
2019-09-30 01:25:22 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050329027088312 }', details={}}]. 
2019-09-30 01:25:48 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050335422432996 }', details={}}]. 
2019-09-30 01:26:00 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050358872626444 }', details={}}]. 
2019-09-30 01:26:03 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050371618036032 }', details={}}]. 
2019-09-30 01:26:15 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050374173719032 }', details={}}]. 
2019-09-30 01:26:40 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=14, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050390735860176 }', details={}}]. 
2019-09-30 01:27:07 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=18, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050418508656128 }', details={}}]. 
2019-09-30 01:27:16 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=18, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050442208402788 }', details={}}]. 
2019-09-30 01:27:40 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050453522287500 }', details={}}]. 
